序号	提交答卷时间	所用时间	来源	来源详情	来自IP	1、您的性别	2、?您认为大学生的心理健康是否应该引起重视，请选择一个符合的选项	3、?您对心理健康知识了解多少，请选择一个符合的选项	4、您了解心理健康的途径是什么，请勾选所有符合的选项（多选题）	5、你总有明确的生活目标并在为之不懈奋斗吗？	6、如果在学习过程中出现学习效率低下、压力过大的状况，你会觉得心烦气躁吗？	7、?在考试考证前，您是否对自己信心不足，情绪烦躁，看过书本但记住很少请选择一个符合的选项	8、你认为压力在你的学习生活中有什么作用？	9、?您生活的压力主要来自，请勾选所有符合的选项（多选题）	10、?你觉得自己的心理承受能力强吗，请选择一个符合的选项	11、?您和周围认识的人是否闹过矛盾，请选择一个符合的选项	12、您是否经常跟家人朋友交流感情，聊天谈笑请选择一个符合的选项	13、?您是否曾因同学间的攀比而产生困扰，请选择一个符合的选项	14、?当情绪低落时，您如何调节，请勾选所有符合的选项（多选题）	15、你如何看待在校大学生自杀事件，请勾选所有符合的选项（多选题）	16、?你的大学恋爱观是怎样？请选择一个符合的选项	17、大学毕业之后你对未来的选择是？	18、?面对如此严峻的就业形势你会有所担忧，请选择一个符合的选项	19、?请问您觉得学校可以如何去进行心理健康教育，请勾选所有符合的选项（多选题）	20、?如果有一场心理讲座，你希望主题是什么请选择一个符合的选项	21、 目前，你急需解决的心理问题是什么？你希望以什么方式获得帮助
5	2021/5/27 10:12:11	94秒	手机提交	直接访问	218.12.13.9(河北-石家庄)	男	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座	有	有时会	是	正面影响，会为学习带来动力	学习压力┋感情压力┋家庭问题┋经济问题	一般	偶尔	经常	较少	参加户外活动转移注意力┋倒头大睡，不去想任何事情	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	考研	会	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	如何和他人交往	无
6	2021/5/27 10:29:53	56秒	手机提交	直接访问	221.192.238.11(河北-保定)	男	必须重视	了解一点	浏览网页┋阅读书刊	有	有时会	是	正面影响，会为学习带来动力	学习压力┋感情压力	一般	偶尔	经常	经常	通过暴饮暴食发泄不满情绪┋倒头大睡，不去想任何事情┋无法排解低落情绪	对引发事件发生的社会原因和学校的责任非常慷慨┋非常鄙视自杀之人，枉费父母和社会的栽培	一种美好的经历，帮助我成长	考公务员	充满信心	设立心理咨询室┋组织团体活动	学习方法	(空)
7	2021/5/28 11:21:51	87秒	手机提交	直接访问	221.192.238.10(河北-保定)	女	必须重视	了解很多	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座	没有	有时会	是	正面影响，会为学习带来动力	学习压力┋人际关系┋考试考证┋就业压力	很强	偶尔	偶尔	较少	倒头大睡，不去想任何事情┋一个人生闷气	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	如何和他人交往	无
8	2021/5/28 12:04:44	620秒	手机提交	直接访问	221.192.180.192(河北-秦皇岛)	男	应该重视	了解一点	阅读书刊┋看相关电影	不知道	有时会	是	没感觉	学习压力┋就业压力	一般	偶尔	偶尔	有时	参加户外活动转移注意力┋倒头大睡，不去想任何事情┋找人倾述	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	考研	有所担忧	设立心理咨询室┋网络心理咨询	如何和他人交往	无
9	2021/5/28 12:13:37	31秒	手机提交	直接访问	223.104.103.126(河北-保定)	男	必须重视	了解很多	浏览网页	有	经常会	是	正面影响，会为学习带来动力	学习压力	很强	经常	经常	经常	参加户外活动转移注意力	压力过大，能够理解	人生大事，应该用心经营，从一而终	就业	会	多举行心理讲座	情绪调节	(空)
10	2021/5/28 12:15:36	124秒	手机提交	直接访问	27.187.160.172(河北-保定)	男	必须重视	了解一点	其他〖学校〗	不知道	有时会	是	较为负面影响，会影响情绪	学习压力┋感情压力┋人际关系┋经济问题	很弱	很少	偶尔	较少	参加户外活动转移注意力┋通过暴饮暴食发泄不满情绪┋倒头大睡，不去想任何事情┋一个人生闷气	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题	一种美好的经历，帮助我成长	就业	有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	如何和他人交往	(空)
11	2021/5/28 12:15:37	131秒	手机提交	直接访问	117.136.2.153(河北-保定)	女	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座	不知道	经常会	是	较为负面影响，会影响情绪	学习压力┋感情压力┋经济问题┋考试考证┋就业压力	一般	很少	偶尔	没有	通过暴饮暴食发泄不满情绪┋一个人生闷气┋无法排解低落情绪	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	考研	有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	情绪调节	(空)
12	2021/5/28 12:24:34	101秒	手机提交	直接访问	101.27.80.125(河北-保定)	男	必须重视	了解很多	浏览网页┋跟朋友聊天时了解到┋看相关电影	没有	有时会	是	较为负面影响，会影响情绪	学习压力┋考试考证	一般	很少	偶尔	没有	找人倾述	以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	考公务员	有所担忧	设立心理咨询室┋组织团体活动	情绪调节	(空)
13	2021/5/28 12:24:36	189秒	手机提交	直接访问	36.98.188.178(河北-未知)	女	没有必要	了解很多┋了解一点┋了解很少┋一点也不了解	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影┋其他〖呃〗	没有	经常会	否	没感觉	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题┋考试考证┋就业压力	很强	很少	从来没有	较少	参加户外活动转移注意力┋通过暴饮暴食发泄不满情绪┋倒头大睡，不去想任何事情┋一个人生闷气┋找人倾述┋无法排解低落情绪	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋非常鄙视自杀之人，枉费父母和社会的栽培┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	考研	会	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	其他:〖如何知道对方在想什么〗	(空)
14	2021/5/28 12:24:50	141秒	手机提交	直接访问	223.104.103.12(河北-保定)	女	应该重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影	没有	有时会	是	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题┋考试考证┋就业压力	很强	偶尔	经常	较少	其他:〖哭〗	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋非常鄙视自杀之人，枉费父母和社会的栽培┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	如何处理学习和工作	没
15	2021/5/28 12:24:59	103秒	手机提交	直接访问	27.128.40.187(河北-石家庄)	男	必须重视	了解一点	阅读书刊┋听讲座┋看相关电影	有	经常会	是	较为负面影响，会影响情绪	学习压力┋人际关系┋考试考证┋就业压力	很弱	偶尔	偶尔	有时	参加户外活动转移注意力┋倒头大睡，不去想任何事情	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	考研	有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	情绪调节	暂无
16	2021/5/28 12:26:30	136秒	手机提交	直接访问	101.27.83.70(河北-保定)	女	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到	不知道	比较少	是	较为负面影响，会影响情绪	学习压力┋考试考证	很强	很少	经常	没有	倒头大睡，不去想任何事情┋一个人生闷气┋找人倾述	以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	有所担忧	设立心理咨询室┋网络心理咨询┋组织团体活动	如何处理学习和工作	(空)
17	2021/5/28 12:27:10	192秒	手机提交	直接访问	218.12.14.32(河北-石家庄)	男	必须重视	了解一点	浏览网页┋跟朋友聊天时了解到┋看相关电影	有	从来不会	否	正面影响，会为学习带来动力	经济问题┋考试考证┋就业压力	很强	很少	偶尔	没有	参加户外活动转移注意力┋倒头大睡，不去想任何事情┋一个人生闷气┋找人倾述	以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	还没想过	充满信心	设立心理咨询室┋网络心理咨询	情绪调节	(空)
18	2021/5/28 12:30:38	213秒	手机提交	直接访问	27.128.57.48(河北-石家庄)	女	必须重视	了解一点	浏览网页┋阅读书刊┋看相关电影	不知道	经常会	是	较为负面影响，会影响情绪	学习压力┋人际关系┋考试考证	一般	很少	偶尔	较少	其他:〖发呆听歌〗	以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	有所担忧	设立心理咨询室┋组织团体活动	情绪调节	考前焦虑
19	2021/6/4 9:44:52	63秒	手机提交	直接访问	117.136.2.186(河北-保定)	男	应该重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到	不知道	有时会	是	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题	一般	很少	偶尔	较少	参加户外活动转移注意力┋倒头大睡，不去想任何事情┋一个人生闷气	以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	还没想过	有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	如何和他人交往	无
20	2021/6/11 10:16:51	84秒	手机提交	直接访问	223.104.103.37(河北-保定)	男	应该重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到	有	有时会	是	没感觉	学习压力┋感情压力	一般	偶尔	偶尔	较少	参加户外活动转移注意力┋倒头大睡，不去想任何事情┋一个人生闷气	对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	会	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	如何处理学习和工作	无
1	2021/5/26 9:46:38	179秒	微信	N/A	112.224.129.40(山东-泰安)	男	必须重视	了解一点	浏览网页┋听讲座	有	有时会	否	正面影响，会为学习带来动力	学习压力┋考试考证┋就业压力	很强	很少	经常	没有	参加户外活动转移注意力	以此为鉴，努力疏导自身心理问题┋社会应更多的关心大学生生活状况	人生大事，应该用心经营，从一而终	考研	会有所担忧	设立心理咨询室┋组织团体活动	如何处理学习和工作	没有
2	2021/5/26 9:48:28	93秒	微信	N/A	223.104.192.139(山东-东营)	男	必须重视	了解一点	浏览网页┋阅读书刊	不知道	经常会	是	正面影响，会为学习带来动力	学习压力┋人际关系	一般	很少	偶尔	较少	参加户外活动转移注意力┋倒头大睡，不去想任何事情	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常愤慨┋以此为鉴，努力疏导自身心理问题┋社会应更多的关心大学生生活状况	一种美好的经历，帮助我成长	考研	会有所担忧	网络心理咨询┋组织团体活动	如何处理学习和工作	(空)
3	2021/5/26 9:50:05	81秒	微信	N/A	117.136.93.200(山东-济南)	女	必须重视	了解一点	浏览网页┋跟朋友聊天时了解到┋看相关电影	有	有时会	否	没感觉	学习压力┋感情压力┋人际关系	很强	很少	经常	没有	参加户外活动转移注意力┋找人倾述	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常愤慨┋以此为鉴，努力疏导自身心理问题┋社会应更多的关心大学生生活状况	一种美好的经历，帮助我成长	考研	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动┋其他	情绪调节	(空)
4	2021/5/26 9:54:31	104秒	微信	N/A	223.104.103.7(河北-保定)	女	必须重视	了解一点	浏览网页┋阅读书刊	不知道	有时会	是	正面影响，会为学习带来动力	学习压力┋家庭问题	一般	很少	偶尔	较少	参加户外活动转移注意力┋倒头大睡，不去想任何事情┋找人倾述	以此为鉴，努力疏导自身心理问题┋社会应更多的关心大学生生活状况	一种美好的经历，帮助我成长	考研	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询	情绪调节	无
5	2021/5/26 9:55:31	47秒	微信	N/A	112.224.141.8(山东-潍坊)	男	必须重视	了解很多	浏览网页┋跟朋友聊天时了解到	有	经常会	是	正面影响，会为学习带来动力	学习压力┋人际关系	很强	没有	经常	经常	参加户外活动转移注意力	社会应更多的关心大学生生活状况	一种美好的经历，帮助我成长	就业	无所谓，父母早已为自己铺好路	多举行心理讲座	学习方法	(空)
6	2021/5/26 10:32:37	122秒	微信	N/A	183.197.164.193(河北-唐山)	女	必须重视	了解很多	跟朋友聊天时了解到┋看相关电影	有	经常会	是	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题┋考试考证┋就业压力┋其他	很强	很少	经常	较少	参加户外活动转移注意力┋其他	非常鄙视自杀之人，枉费父母和社会的栽培┋社会应更多的关心大学生生活状况	一种美好的经历，帮助我成长	考公务员	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动┋其他	如何处理学习和工作	心理辅导
7	2021/5/26 10:39:06	71秒	微信	N/A	180.161.129.35(上海-上海)	女	必须重视	了解很多	浏览网页┋听讲座	有	经常会	是	较为负面影响，会影响情绪	学习压力┋家庭问题┋经济问题	一般	偶尔	经常	经常	通过暴饮暴食发泄不满情绪┋一个人生闷气┋找人倾述	压力过大，能够理解┋社会应更多的关心大学生生活状况	人生大事，应该用心经营，从一而终	考研	会有所担忧	设立心理咨询室	情绪调节	(空)
8	2021/5/26 11:33:57	230秒	微信	N/A	106.119.34.232(河北-唐山)	男	必须重视	了解一点	跟朋友聊天时了解到	没有	有时会	是	较为负面影响，会影响情绪	人际关系┋经济问题	一般	很少	很少	有时	参加户外活动转移注意力	非常鄙视自杀之人，枉费父母和社会的栽培	人生大事，应该用心经营，从一而终	就业	会有所担忧	组织团体活动	如何处理学习和工作	(空)
9	2021/5/26 16:35:09	188秒	微信	N/A	123.135.126.235(山东-泰安)	男	应该重视	了解一点	阅读书刊┋跟朋友聊天时了解到	没有	从来不会	是	较为负面影响，会影响情绪	其他	很强	很少	很少	较少	参加户外活动转移注意力	以此为鉴，努力疏导自身心理问题┋社会应更多的关心大学生生活状况	一种美好的经历，帮助我成长	考研	会有所担忧	其他	其他	(空)
10	2021/5/26 20:42:06	1470秒	微信	N/A	111.61.198.174(河北-石家庄)	男	必须重视	了解很少	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋看相关电影	有	经常会	否	较为负面影响，会影响情绪	感情压力┋经济问题	很强	很少	偶尔	没有	参加户外活动转移注意力	非常鄙视自杀之人，枉费父母和社会的栽培	人生大事，应该用心经营，从一而终	就业	充满信心	其他	其他	我想要对象
1	2021/5/26 14:15:39	52秒	微信	N/A	42.97.242.151(吉林-长春)	男	必须重视	了解很多	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影┋其他	有	*经常会	是	*正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系	一般	经常	偶尔	经常	通过暴饮暴食发泄不满情绪	压力过大，能够理解对引发事件发生的社会原因和学校的责任非常慷慨┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动┋其他	情绪调节	无
2	2021/5/26 14:16:08	168秒	手机提交	直接访问	123.178.214.159(内蒙古-呼和浩特)	女	应该重视	了解一点	浏览网页┋阅读书刊┋其他	没有	有时	是	*正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题┋考试考证┋其他	很强	偶尔	偶尔	较少	倒头大睡，不去想任何事情┋一个人生闷气┋其他：	压力过大，能够理解对引发事件发生的社会原因和学校的责任非常慷慨┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	考研	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动┋其他	如何处理学习和工作	无
3	2021/5/26 14:20:57	121秒	微信	N/A	111.61.77.183(河北-石家庄)	男	应该重视	了解一点	浏览网页┋阅读书刊┋听讲座	不知道	有时	是	较为负面影响，会影响情绪	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题┋考试考证┋就业压力	一般	偶尔	偶尔	较少	通过暴饮暴食发泄不满情绪┋一个人生闷气	压力过大，能够理解对引发事件发生的社会原因和学校的责任非常慷慨	一种美好的经历，帮助我成长	还没想过	会有所担忧	多举行心理讲座┋设立心理咨询室┋组织团体活动	如何和他人交往	资金
4	2021/5/26 14:24:19	143秒	微信	N/A	223.104.13.42(河北-石家庄)	女	必须重视	了解很少	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影┋其他	没有	有时	是	*正面影响，会为学习带来动力	学习压力┋人际关系┋经济问题┋考试考证┋就业压力┋其他	一般	经常	偶尔	有时	参加户外活动转移注意力┋一个人生闷气	压力过大，能够理解对引发事件发生的社会原因和学校的责任非常慷慨┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	还没想过	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动┋其他	情绪调节	考试焦虑 延期考试
5	2021/5/26 14:29:55	43秒	手机提交	直接访问	218.12.12.51(河北-石家庄)	男	应该重视	了解很多	阅读书刊┋跟朋友聊天时了解到┋听讲座	有	*经常会	是	较为负面影响，会影响情绪	人际关系┋家庭问题┋经济问题┋考试考证	很强	经常	偶尔	经常	参加户外活动转移注意力┋通过暴饮暴食发泄不满情绪┋倒头大睡，不去想任何事情┋找人倾述	压力过大，能够理解对引发事件发生的社会原因和学校的责任非常慷慨	只在乎曾经拥有，不在乎天长地久	还没想过	无所谓，父母早已为自己铺好路	设立心理咨询室┋网络心理咨询┋其他	学习方法	(空)
6	2021/5/26 14:39:22	355秒	微信	N/A	223.104.103.32(河北-保定)	女	必须重视	了解很少	浏览网页┋阅读书刊┋听讲座┋看相关电影	没有	有时	是	较为负面影响，会影响情绪	学习压力┋人际关系┋经济问题┋考试考证	一般	很少	经常	没有	通过暴饮暴食发泄不满情绪┋倒头大睡，不去想任何事情┋一个人生闷气┋找人倾述	压力过大，能够理解对引发事件发生的社会原因和学校的责任非常慷慨┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	就业	会有所担忧	多举行心理讲座┋设立心理咨询室┋组织团体活动	如何和他人交往	人际关系方面，人与人交往能够多一点真诚，有人能够交给自己。
7	2021/5/26 15:20:07	31秒	手机提交	直接访问	58.57.119.43(山东-淄博)	男	必须重视	了解很多	浏览网页┋阅读书刊	有	有时	否	*正面影响，会为学习带来动力	学习压力┋感情压力	很强	经常	偶尔	较少	找人倾述	社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	就业	无所谓，父母早已为自己铺好路	网络心理咨询	如何和他人交往	(空)
8	2021/5/26 15:20:21	146秒	手机提交	直接访问	221.192.238.10(河北-保定)	女	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影	有	比较少	否	*正面影响，会为学习带来动力	学习压力┋人际关系┋家庭问题┋经济问题┋考试考证┋就业压力	一般	很少	偶尔	较少	参加户外活动转移注意力┋通过暴饮暴食发泄不满情绪┋倒头大睡，不去想任何事情┋一个人生闷气	压力过大，能够理解对引发事件发生的社会原因和学校的责任非常慷慨┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	就业	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	情绪调节	没有
9	2021/5/26 15:23:44	92秒	微信	N/A	106.119.42.181(河北-唐山)	男	必须重视	了解一点	阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影	没有	有时	是	*正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题┋考试考证┋就业压力	一般	偶尔	经常	经常	通过暴饮暴食发泄不满情绪┋一个人生闷气	压力过大，能够理解对引发事件发生的社会原因和学校的责任非常慷慨	人生大事，应该用心经营，从一而终	就业	会有所担忧	多举行心理讲座	学习方法	动员起同学们的热情来
10	2021/5/26 16:24:23	329秒	手机提交	直接访问	183.198.80.37(河北-石家庄)	男	必须重视	了解很少	浏览网页	有	有时	是	*正面影响，会为学习带来动力	学习压力┋考试考证	一般	很少	偶尔	没有	参加户外活动转移注意力┋找人倾述	社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	考研	会有所担忧	网络心理咨询	情绪调节	无
11	2021/5/26 20:53:07	80秒	微信	N/A	27.128.85.44(河北-衡水)	男	必须重视	了解很多	浏览网页	有	从来不会	否	*正面影响，会为学习带来动力	学习压力	一般	很少	很少	有时	倒头大睡，不去想任何事情	非常鄙视自杀之人，枉费父母和社会的栽培以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	只在乎曾经拥有，不在乎天长地久	考公务员	无所谓，父母早已为自己铺好路	其他	其他：	没有
1	2021/5/28 2:12:59	288秒	微信	N/A	101.19.4.47(河北-保定)	女	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋看相关电影	不知道	经常会	是	没感觉	学习压力┋人际关系┋经济问题┋考试考证	一般	很少	经常	有时	通过暴饮暴食发泄不满情绪┋倒头大睡，不去想任何事情┋找人倾述	对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自身心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	会	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	如何处理学习和工作	焦虑，提前焦虑。和同学交流，和心理咨询师交流，改变现状。
2	2021/5/28 6:36:31	355秒	微信	N/A	223.104.101.243(河北-邯郸)	女	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影	没有	有时会	是	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系┋考试考证	一般	偶尔	偶尔	有时	参加户外活动转移注意力┋倒头大睡，不去想任何事情┋找人倾述┋无法排解低落情绪	以此为鉴，努力疏导自身心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	情绪调节	与朋友间的相处  聊天  心理和行为
3	2021/5/28 7:25:03	243秒	微信	N/A	36.98.142.157(河北-保定)	男	应该重视	了解一点	阅读书刊┋听讲座	没有	从来不会	否	没感觉	学习压力┋感情压力┋人际关系┋考试考证	很强	没有	偶尔	没有	其他:〖看书〗	以此为鉴，努力疏导自身心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	会	多举行心理讲座┋设立心理咨询室┋组织团体活动	情绪调节	怎么才能伤心难过？
4	2021/5/28 7:32:01	294秒	微信	N/A	222.223.189.9(河北-石家庄)	女	应该重视	了解一点	浏览网页┋听讲座	不知道	经常会	否	较为负面影响，会影响情绪	学习压力┋感情压力┋人际关系┋考试考证	一般	很少	经常	较少	一个人生闷气	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨	人生大事，应该用心经营，从一而终	考研	有所担忧	网络心理咨询	学习方法	无
5	2021/5/28 7:35:40	188秒	微信	N/A	42.80.172.18(天津-天津)	男	必须重视	了解很多┋了解一点	阅读书刊┋跟朋友聊天时了解到	没有	经常会	是	正面影响，会为学习带来动力	学习压力	很强	经常	经常	有时	通过暴饮暴食发泄不满情绪┋倒头大睡，不去想任何事情	对引发事件发生的社会原因和学校的责任非常慷慨┋非常鄙视自杀之人，枉费父母和社会的栽培	人生大事，应该用心经营，从一而终	就业	会	多举行心理讲座	如何和他人交往	某豪老装13怎么办，希望公安局能制裁他
6	2021/5/28 7:37:58	129秒	微信	N/A	113.57.237.15(湖北-武汉)	男	必须重视	了解一点	听讲座	不知道	经常会	否	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系	很强	偶尔	经常	没有	一个人生闷气┋找人倾述	对引发事件发生的社会原因和学校的责任非常慷慨┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	充满信心	设立心理咨询室┋网络心理咨询	如何和他人交往	(空)
7	2021/5/28 7:47:43	321秒	微信	N/A	113.57.176.182(湖北-武汉)	男	应该重视	了解一点	听讲座	没有	有时会	是	没感觉	其他〖我太咸鱼了，没有压力〗	一般	偶尔	偶尔	没有	一个人生闷气┋找人倾述	社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	就业	充满信心	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	如何处理学习和工作	太咸鱼了，没动力
8	2021/5/28 8:16:24	112秒	微信	N/A	223.104.103.12(河北-保定)	女	必须重视	了解一点	阅读书刊┋听讲座	不知道	经常会	是	较为负面影响，会影响情绪	学习压力┋人际关系┋家庭问题┋考试考证┋就业压力	一般	很少	很少	较少	通过暴饮暴食发泄不满情绪┋倒头大睡，不去想任何事情	以此为鉴，努力疏导自身心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	还没想过	有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	如何和他人交往	树立自信心
9	2021/5/28 8:28:03	139秒	微信	N/A	221.192.238.8(河北-保定)	男	必须重视	了解一点	浏览网页┋听讲座┋看相关电影	没有	比较少	否	正面影响，会为学习带来动力	学习压力┋感情压力┋考试考证┋就业压力	很强	很少	偶尔	较少	参加户外活动转移注意力┋找人倾述	以此为鉴，努力疏导自身心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	考研	有所担忧	多举行心理讲座┋组织团体活动	如何和他人交往	帮人疏导
10	2021/5/28 10:11:13	181秒	微信	N/A	221.192.238.7(河北-保定)	女	必须重视	了解一点	阅读书刊┋其他〖学习〗	有	有时会	是	较为负面影响，会影响情绪	学习压力┋考试考证┋就业压力	很强	很少	经常	较少	参加户外活动转移注意力	压力过大，能够理解┋以此为鉴，努力疏导自身心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	还没想过	会	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	如何处理学习和工作	减肥失败
1	2021/5/25 11:45:26	172秒	微信	N/A	221.192.179.81(河北-石家庄)	女	必须重视	了解很少	浏览网页┋阅读书刊┋跟朋友聊天时了解到	不知道	有时会	是	较为负面影响，会影响情绪	学习压力┋经济问题┋考试考证	一般	很少	偶尔	较少	参加户外活动转移注意力┋找人倾述┋其他：〖看书〗	社会应更多得关心大学生生活状况	只在乎曾经拥有，不在乎天长地久	考研	会有所担忧	设立心理咨询室┋网络心理咨询	情绪调节	(空)
2	2021/5/25 11:51:40	123秒	微信	N/A	111.225.133.43(河北-张家口)	女	必须重视	了解一点	浏览网页┋跟朋友聊天时了解到┋看相关电影┋其他	有	有时会	否	正面影响，会为学习带来动力	学习压力┋人际关系┋家庭问题┋考试考证┋就业压力	一般	很少	偶尔	没有	参加户外活动转移注意力┋倒头大睡，不去想任何事情┋找人倾述	以此为鉴，努力疏导自身心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	考研	会有所担忧	设立心理咨询室┋组织团体活动	情绪调节	升学压力
